"","Word","SocPhys.Mean","SocPhys.SD","V.Mean.Sum","V.SD.Sum","SUBTLWF","Valence","Concreteness","word_length"
"28","bulimic",3.45,2.13577584534016,2.86,1.42,0.57,"negative","neutral",7
"29","carefree",6.6875,0.478713553878169,7.32,1.49,1.35,"positive","abstract",8
"30","carsick",2.0625,1.69189243156886,2.48,1.33,0.61,"negative","neutral",7
"31","catastrophic",4.1875,1.55857841210081,2.05,1.1,1.27,"negative","neutral",12
"32","charitable",6.3125,1.07819293264239,7.33,1.15,2.04,"positive","neutral",10
"33","cheerful",6.6,0.547722557505166,8,1.41,3.73,"positive","neutral",8
"34","colic",2.45454545454545,1.75291964240443,2.95,1.43,0.51,"negative","neutral",5
"35","colorful",2.81818181818182,1.62235465667487,7.43,1.4,3.2,"positive","neutral",8
"36","comatose",1.90909090909091,1.92117388356939,2,1,0.98,"negative","neutral",8
"37","comforting",6.2,0.836660026534076,7.47,2.17,4.35,"positive","neutral",10
"38","comfy",2.8125,1.83371208208922,7.25,1.41,2.25,"positive","neutral",5
"39","comic",5.14285714285714,1.4638501094228,7.5,1.47,10.82,"positive","neutral",5
"40","compassionate",6.18181818181818,1.25045446283996,7.95,1.22,1.78,"positive","abstract",13
"41","conceited",6.54545454545455,1.40500034662842,2.75,1.37,1.84,"negative","abstract",9
"42","confident",6.68181818181818,0.893700900022652,7.56,1.14,10.65,"positive","neutral",9
"43","considerate",6.5,0.987096233585649,7.2,1.2,3.43,"positive","abstract",11
"44","convenient",5.54545454545455,1.43969693780576,7.15,1.5,8.55,"positive","abstract",10
"45","coronary",2.45454545454545,2.01809991643805,2.62,1.47,1.98,"negative","neutral",8
"46","courageous",6.25,1.64472739538448,8.05,0.71,3.16,"positive","abstract",10
"47","crappy",4.45,1.76794825310048,2.35,1.57,4.96,"negative","abstract",6
"48","deathly",3.5625,1.63171688720807,1.95,1.18,0.55,"negative","abstract",7
"49","deceitful",5.4,2.50998007960223,2.6,1.67,1.14,"negative","neutral",9
"50","decorative",2.28571428571429,1.60356745147455,7.52,1.47,0.86,"positive","neutral",10
"51","defenseless",4.9375,1.43614066163451,2.68,1.42,1.33,"negative","neutral",11
"52","deformed",1.5625,1.03077640640442,2.26,1.1,1.29,"negative","neutral",8
"53","degenerate",5.77272727272727,1.99837596400339,2.7,1.3,1.82,"negative","neutral",10
"54","delicious",2.81818181818182,2.26013829404864,7.38,1.83,21.53,"positive","neutral",9
"55","delighted",6.27272727272727,1.57908406790345,7.74,1.05,12.94,"positive","neutral",9
"56","delightful",5.36363636363636,1.91168654714769,7.38,1.83,9.2,"positive","neutral",10
"57","demeaning",5.4,1.51657508881031,2.62,1.28,0.86,"negative","abstract",9
"58","dependable",6.6,0.547722557505166,7.24,1.34,1.67,"positive","abstract",10
"59","depressing",4.6,1.67332005306815,2.48,1.69,6.35,"negative","abstract",10
"60","derogatory",6,1.22474487139159,2.7,1.34,0.61,"negative","neutral",10
"61","despicable",4.6,2.50998007960223,2.76,1.45,2.1,"negative","abstract",10
"62","destitute",5,1,2.11,1.41,0.71,"negative","neutral",9
"63","deteriorating",1.90909090909091,1.37510330190466,2.63,1.3,0.65,"negative","neutral",13
"64","devastating",5.42857142857143,1.39727626201154,2.09,1.31,2.73,"negative","neutral",11
"65","disabled",2.75,1.48323969741913,2.7,1.15,3.47,"negative","neutral",8
"66","disappointing",6.72727272727273,0.646669790682863,2.79,1.13,3.43,"negative","abstract",13
"67","disastrous",3.8125,1.32759180473518,2.21,1.93,1.67,"negative","neutral",10
"68","discriminating",6.125,1.20415945787923,2.33,1.15,0.49,"negative","abstract",14
"69","diseased",2.6,1.81659021245849,2.24,1.34,1.14,"negative","neutral",8
"70","disgraceful",6.15,1.18862126550912,2.35,1.35,1.82,"negative","abstract",11
"71","dishonorable",6.6,0.547722557505166,2.33,1.28,0.63,"negative","abstract",12
"72","disloyal",6.81818181818182,0.664498639244989,2.27,1.22,0.96,"negative","abstract",8
"73","dismal",5.27272727272727,1.80427582575704,2.6,1.39,0.94,"negative","neutral",6
"74","disorderly",5.09090909090909,2.18019420081027,2.95,1.39,1.35,"negative","neutral",10
"75","distraught",6.27272727272727,1.57908406790345,2.81,1.47,1.55,"negative","neutral",10
"76","divine",4.825,1.69293403327644,7.15,1.42,11.65,"positive","abstract",6
"77","drab",3,1.4142135623731,2.76,1.26,0.8,"negative","neutral",4
"78","dreaded",6,1.09544511501033,2.11,1.33,1.35,"negative","neutral",7
"79","dreamy",5.28571428571429,1.60356745147455,7.52,1.5,1.57,"positive","neutral",6
"80","easygoing",6.9375,0.25,7.03,1.35,0.43,"positive","abstract",9
"81","elegant",4.6,1.78023334684832,7,1.2,6.27,"positive","neutral",7
"82","energetic",4,2.12132034355964,7.57,0.87,1.29,"positive","neutral",9
"83","enjoyable",6.375,0.885061203156784,7.63,1.5,1.94,"positive","neutral",9
"84","enlightening",6.09090909090909,1.44449994343374,7,1.52,0.73,"positive","abstract",12
"85","enraged",6.1875,1.32759180473518,2.33,1.39,0.69,"negative","neutral",7
"86","entertaining",4.8,2.16794833886788,8,0.84,5.65,"positive","neutral",12
