"","Word","ConcValStrict","Group","F_value","J_value"
"1","befall","concrete-negative","A","abstract","concrete"
"2","consider","concrete-positive","A","abstract","concrete"
"3","esteem","abstract-positive","A","abstract","concrete"
"4","fall","abstract-negative","A","abstract","concrete"
"5","running","abstract-positive","A","abstract","concrete"
"6","break","concrete-negative","A","abstract","concrete"
"7","criticize","abstract-negative","A","abstract","concrete"
"8","scratch","concrete-negative","A","abstract","concrete"
"9","build","concrete-positive","A","abstract","concrete"
"10","impose","concrete-negative","A","abstract","concrete"
"11","qualify","concrete-positive","A","abstract","concrete"
"12","scorn","abstract-negative","A","abstract","concrete"
"13","beware","concrete-negative","A","abstract","concrete"
"14","obsess","abstract-negative","A","abstract","concrete"
"15","loathe","abstract-negative","A","abstract","concrete"
"16","cherish","abstract-positive","A","abstract","concrete"
"17","hug","concrete-positive","A","abstract","concrete"
"18","excell","abstract-positive","A","abstract","concrete"
"19","resent","abstract-negative","A","abstract","concrete"
"20","embolden","abstract-positive","A","abstract","concrete"
"21","respect","abstract-positive","A","abstract","concrete"
"22","admire","abstract-positive","A","abstract","concrete"
"23","flourish","abstract-positive","A","abstract","concrete"
"24","cuddle","concrete-positive","A","abstract","concrete"
"25","doubt","abstract-negative","A","abstract","concrete"
"26","exploit","concrete-negative","A","abstract","concrete"
"27","hurl","abstract-negative","A","abstract","concrete"
"28","repair","concrete-positive","A","abstract","concrete"
"29","sail","abstract-positive","A","abstract","concrete"
"30","smack","abstract-negative","A","abstract","concrete"
"31","murder","concrete-negative","A","abstract","concrete"
"32","adore","abstract-positive","A","abstract","concrete"
"33","worry","abstract-negative","A","abstract","concrete"
"34","kill","concrete-negative","A","abstract","concrete"
"35","rot","concrete-negative","A","abstract","concrete"
"36","smile","concrete-positive","A","abstract","concrete"
"37","behold","concrete-positive","A","abstract","concrete"
"38","feeling","concrete-positive","A","abstract","concrete"
"39","stab","concrete-negative","A","abstract","concrete"
"40","justify","concrete-positive","A","abstract","concrete"
"41","befall","concrete-negative","B","concrete","abstract"
"42","consider","concrete-positive","B","concrete","abstract"
"43","esteem","abstract-positive","B","concrete","abstract"
"44","fall","abstract-negative","B","concrete","abstract"
"45","running","abstract-positive","B","concrete","abstract"
"46","break","concrete-negative","B","concrete","abstract"
"47","criticize","abstract-negative","B","concrete","abstract"
"48","scratch","concrete-negative","B","concrete","abstract"
"49","build","concrete-positive","B","concrete","abstract"
"50","impose","concrete-negative","B","concrete","abstract"
"51","qualify","concrete-positive","B","concrete","abstract"
"52","scorn","abstract-negative","B","concrete","abstract"
"53","beware","concrete-negative","B","concrete","abstract"
"54","obsess","abstract-negative","B","concrete","abstract"
"55","loathe","abstract-negative","B","concrete","abstract"
"56","cherish","abstract-positive","B","concrete","abstract"
"57","hug","concrete-positive","B","concrete","abstract"
"58","excell","abstract-positive","B","concrete","abstract"
"59","resent","abstract-negative","B","concrete","abstract"
"60","embolden","abstract-positive","B","concrete","abstract"
"61","respect","abstract-positive","B","concrete","abstract"
"62","admire","abstract-positive","B","concrete","abstract"
"63","flourish","abstract-positive","B","concrete","abstract"
"64","cuddle","concrete-positive","B","concrete","abstract"
"65","doubt","abstract-negative","B","concrete","abstract"
"66","exploit","concrete-negative","B","concrete","abstract"
"67","hurl","abstract-negative","B","concrete","abstract"
"68","repair","concrete-positive","B","concrete","abstract"
"69","sail","abstract-positive","B","concrete","abstract"
"70","smack","abstract-negative","B","concrete","abstract"
"71","murder","concrete-negative","B","concrete","abstract"
"72","adore","abstract-positive","B","concrete","abstract"
"73","worry","abstract-negative","B","concrete","abstract"
"74","kill","concrete-negative","B","concrete","abstract"
"75","rot","concrete-negative","B","concrete","abstract"
"76","smile","concrete-positive","B","concrete","abstract"
"77","behold","concrete-positive","B","concrete","abstract"
"78","feeling","concrete-positive","B","concrete","abstract"
"79","stab","concrete-negative","B","concrete","abstract"
"80","justify","concrete-positive","B","concrete","abstract"
