Word,Concreteness,Group,F_value,J_value
triangular,physical,A,physical,social
metallic,physical,A,physical,social
wet,physical,A,physical,social
frozen,physical,A,physical,social
round,physical,A,physical,social
loyal,social,A,physical,social
diplomatic,social,A,physical,social
aloof,social,A,physical,social
overrated,social,A,physical,social
comforting,social,A,physical,social
