Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
673f9a681559d5649117c775,60ce5270f1695ea416c25fc3,APPROVED,Not Applicable,2024-11-21T20:39:10.651000Z,2024-11-21T20:49:57.308000Z,2024-11-21T20:49:58.166000Z,2024-11-21T20:49:58.026621Z,647.0,CHFTNE6M,4182,69,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
673f9eb6ee6d447dbaed7376,62fbc9730a4b70bcc1c942b3,APPROVED,Not Applicable,2024-11-21T20:57:31.341000Z,2024-11-21T21:09:20.922000Z,2024-11-21T21:11:25.986000Z,2024-11-21T21:11:36.689044Z,710.0,CHFTNE6M,1237,35,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
673fa5b844b2f6161243747a,63b7231214a665c3e234df23,APPROVED,Not Applicable,2024-11-21T21:27:25.139000Z,2024-11-21T21:47:58.393000Z,2024-11-21T21:47:59.010000Z,2024-11-21T21:47:58.928433Z,1234.0,CHFTNE6M,3737,43,Male,Mixed,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
673fa5c57f9adf3725cfb41b,58472149000f1000010ebc53,APPROVED,Not Applicable,2024-11-21T21:30:04.014000Z,2024-11-21T21:46:41.811000Z,2024-11-21T21:46:42.481000Z,2024-11-21T21:46:44.210798Z,998.0,CHFTNE6M,5056,48,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
673fa9721559d5649117ca6d,5d847ac9be4b0b00188463d7,APPROVED,Not Applicable,2024-11-21T21:43:14.855000Z,2024-11-21T21:56:38.092000Z,2024-11-21T21:56:39.315000Z,2024-11-21T21:57:43.186367Z,804.0,CHFTNE6M,5074,27,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
673fa2d77a617ce5573d33f9,64374928df1b0f8f55b3279c,RETURNED,Not Applicable,2024-11-21T21:15:12.440000Z,,,,,,4560,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
