Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
67aa2fd9fe699bd9df5616cd,5ef98087540ce971a8fb4280,APPROVED,Not Applicable,2025-02-10T16:57:03.738000Z,2025-02-10T17:06:07.110000Z,2025-02-10T17:06:08.385000Z,2025-02-10T17:07:25.861145Z,544,CHFTNE6M,4607,34,Female,White,United States,United States,United States,English,No,Part-Time
67aa316d3f9a5ae1bdb1367e,56d857ad4a9be1000a53af36,APPROVED,Not Applicable,2025-02-10T17:08:17.362000Z,2025-02-10T17:24:34.578000Z,2025-02-10T17:24:36.459000Z,2025-02-10T17:24:36.294863Z,978,CHFTNE6M,2554,41,Female,White,United States,United States,United States,English,No,Full-Time
67aa32936723ea390bc7f00e,5654c59404212700124a1a4d,APPROVED,Not Applicable,2025-02-10T17:08:42.170000Z,2025-02-10T17:20:04.594000Z,2025-02-10T17:20:21.179000Z,2025-02-10T17:20:23.653580Z,683,CHFTNE6M,1726,35,Female,White,United States,United States,United States,English,No,Part-Time
67aa3780f11d921d3ff64011,61075a765969d97b256603b7,APPROVED,Not Applicable,2025-02-10T17:30:24.945000Z,2025-02-10T17:46:41.054000Z,2025-02-11T13:33:31.256000Z,2025-02-10T17:47:21.999595Z,977,NOCODE,1292,47,Male,Other,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
67aa37e40903c2fb6d166fda,5886d67b3e1f290001aa7529,APPROVED,Not Applicable,2025-02-10T17:31:30.856000Z,2025-02-10T17:45:17.049000Z,2025-02-10T17:46:33.487000Z,2025-02-10T17:46:15.859172Z,827,CHFTNE6M,1979,43,Female,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
