Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
67aa1c624434c63797348095,5ba802ee60f3d5000169e5da,APPROVED,Not Applicable,2025-02-10T15:34:03.175000Z,2025-02-10T15:45:04.669000Z,2025-02-10T15:45:49.487000Z,2025-02-10T15:45:49.291215Z,662,CHFTNE6M,3708,44,Female,White,United States,United States,United States,English,No,Full-Time
67aa1cdecc8c308efecb60ac,65cbfcea34c74d80089a7ccd,APPROVED,Not Applicable,2025-02-10T15:36:05.895000Z,2025-02-10T15:50:14.224000Z,2025-02-10T15:50:15.429000Z,2025-02-10T15:50:41.267320Z,849,CHFTNE6M,1092,30,Female,Black,United States,United States,United States,English,Yes,Unemployed (and job seeking)
67aa1e15cd795f6eee167246,6630f98bd3b56510917ec137,APPROVED,Not Applicable,2025-02-10T15:47:18.273000Z,2025-02-10T16:11:27.749000Z,2025-02-10T16:13:00.057000Z,2025-02-10T16:12:42.394180Z,1450,CHFTNE6M,1166,46,Male,Other,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
67aa203737e05f6272167523,5588b04ffdf99b7a91e75ddb,APPROVED,Not Applicable,2025-02-10T15:50:24.109000Z,2025-02-10T16:04:20.438000Z,2025-02-10T16:04:24.259000Z,2025-02-10T16:04:21.128548Z,837,CHFTNE6M,6075,57,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
67aa2666e97337e554598755,5ddcbca2798297c203d13723,APPROVED,Not Applicable,2025-02-10T16:16:43.688000Z,2025-02-10T16:26:51.277000Z,2025-02-10T16:27:57.411000Z,2025-02-10T16:28:01.585196Z,608,CHFTNE6M,1347,37,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
