Word,ConcValCombo
Inclusive,social-positive
Fair,social-positive
Just,social-positive
Harmonious,social-positive
Prosperous,social-positive
Democratic,social-positive
Supportive,social-positive
Empowering,social-positive
United,social-positive
Compassionate,social-positive
Unjust,social-negative
Oppressive,social-negative
Corrupt,social-negative
Divisive,social-negative
Discriminatory,social-negative
Exploitative,social-negative
Chaotic,social-negative
Authoritarian,social-negative
Marginalized,social-negative
Dystopian,social-negative
Vibrant,physical-positive
Lush,physical-positive
Radiant,physical-positive
Soft,physical-positive
Refreshing,physical-positive
Fragrant,physical-positive
Smooth,physical-positive
Glowing,physical-positive
Crisp,physical-positive
Sturdy,physical-positive
Rotten,physical-negative
Sticky,physical-negative
Sour,physical-negative
Greasy,physical-negative
Slimy,physical-negative
Brittle,physical-negative
Clammy,physical-negative
Moldy,physical-negative
Gritty,physical-negative
Rancid,physical-negative
