Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
67e43b83342de51f0f8e1765,63b9ff9f64549294f0abe3c1,APPROVED,Not Applicable,2025-03-26T17:38:50.747000Z,2025-03-26T18:03:38.854000Z,2025-03-26T18:04:14.088000Z,2025-03-26T18:03:40.062854Z,1489.0,CHFTNE6M,1491,71,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
67e43f8268aeb0feaf2c0580,63e5257dc5aceb22cee2ddf1,APPROVED,Not Applicable,2025-03-26T17:55:25.784000Z,2025-03-26T18:10:10.332000Z,2025-03-26T18:10:12.604000Z,2025-03-26T18:10:10.998979Z,885.0,CHFTNE6M,4260,33,Male,DATA_EXPIRED,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
67e4423daf0f367a85864edd,6111216b74cfd482d05ac02b,APPROVED,Not Applicable,2025-03-26T18:08:01.921000Z,2025-03-26T18:16:40.268000Z,2025-03-26T18:16:41.150000Z,2025-03-26T18:16:40.979865Z,519.0,CHFTNE6M,1331,23,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
67e44570d6ecbcd249fea941,6126c68385863fa349a80305,APPROVED,Not Applicable,2025-03-26T18:20:40.550000Z,2025-03-26T18:30:48.291000Z,2025-03-26T18:30:50.290000Z,2025-03-26T18:30:50.012054Z,608.0,CHFTNE6M,3188,23,Male,Asian,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
67e44852f52ee67d33d91f2d,5f17821d53d8590009cfc951,APPROVED,Not Applicable,2025-03-26T18:35:33.304000Z,2025-03-26T18:46:36.653000Z,2025-03-26T18:46:38.331000Z,2025-03-26T18:46:38.064877Z,664.0,CHFTNE6M,8175,37,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
67e441f48de8d5fbd71845c9,5bdaf872e2c06f00018fb552,RETURNED,Not Applicable,2025-03-26T18:05:54.002000Z,,,,,,2966,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
