Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
67e3d8e4fb53d7571f621704,5a7f42215292b8000122c84a,APPROVED,Not Applicable,2025-03-26T10:37:30.443000Z,2025-03-26T10:49:04.811000Z,2025-03-26T10:49:05.693000Z,2025-03-26T10:49:05.578174Z,695,CHFTNE6M,1959,29,Female,Mixed,United States,United States,United States,English,No,DATA_EXPIRED
67e3dc003d88005dfa2c6d52,5977466b68264c0001c49088,APPROVED,Not Applicable,2025-03-26T10:50:49.835000Z,2025-03-26T11:03:28.455000Z,2025-03-26T11:03:29.464000Z,2025-03-26T11:03:29.363805Z,759,CHFTNE6M,2881,55,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
67e3e8c247ae1898365d4bd1,61287939bc5a971fc15333e4,APPROVED,Not Applicable,2025-03-26T11:45:13.477000Z,2025-03-26T12:02:39.126000Z,2025-03-26T12:02:42.871000Z,2025-03-26T12:02:39.892216Z,1046,CHFTNE6M,1331,38,Male,White,United States,United States,United States,English,No,Other
67e3eaa2bea222fd82e57374,5e34325430e5263f0bebb32d,APPROVED,Not Applicable,2025-03-26T11:53:11.316000Z,2025-03-26T12:11:02.086000Z,2025-03-26T12:11:03.814000Z,2025-03-26T12:11:02.946451Z,1071,CHFTNE6M,4639,70,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
67e3eac3b24d17e9844d36b8,66a94c224273fab59f0b2c71,APPROVED,Not Applicable,2025-03-26T11:59:32.083000Z,2025-03-26T12:28:09.751000Z,2025-03-26T12:28:11.250000Z,2025-03-26T12:28:11.138838Z,1718,CHFTNE6M,1019,33,Female,White,United States,United States,United States,English,DATA_EXPIRED,Part-Time
