Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
67a3ba5a763fe3a14fd90d4c,662a4a8b566905a139dc2ce1,APPROVED,Not Applicable,2025-02-05T19:22:06.742000Z,2025-02-05T19:33:47.592000Z,2025-02-05T19:35:01.159000Z,2025-02-05T19:34:41.724766Z,701,CHFTNE6M,1031,50,Female,White,United States,United States,United States,English,No,Part-Time
67a3bbdc5f662a67f52d738c,5ed2bb7a67d51b24b2ac4037,APPROVED,Not Applicable,2025-02-05T19:28:33.179000Z,2025-02-05T19:38:23.347000Z,2025-02-05T19:39:53.130000Z,2025-02-05T19:38:24.119454Z,591,CHFTNE6M,6288,35,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
67a3bbeb2ad8b2797c2ef0a5,647652cb5644044df439e1fb,APPROVED,Not Applicable,2025-02-05T19:28:43.778000Z,2025-02-05T19:41:43.796000Z,2025-02-05T19:42:05.005000Z,2025-02-05T19:41:44.788134Z,781,CHFTNE6M,2772,37,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
67a3c4800c05eb0245d23bd0,60fe22beeb612ead4d261590,APPROVED,Not Applicable,2025-02-05T20:05:24.771000Z,2025-02-05T20:14:42.762000Z,2025-02-05T20:14:53.804000Z,2025-02-05T20:14:43.684589Z,558,CHFTNE6M,3698,26,Female,White,United States,United States,United States,English,No,Full-Time
67a3ca9aa2ceb499e0159972,5632410fca59f6000b795a70,APPROVED,Not Applicable,2025-02-05T20:31:26.817000Z,2025-02-05T20:45:54.090000Z,2025-02-05T20:45:56.253000Z,2025-02-05T20:46:11.522734Z,868,CHFTNE6M,2075,49,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
