Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
67f565f26595a32202afd7ad,663a73c05e670e0f32b6ae4f,APPROVED,Not Applicable,2025-04-08T18:08:00.072000Z,2025-04-08T18:19:24.400000Z,2025-04-08T18:19:24.996000Z,2025-04-08T18:20:54.892248Z,685,CHFTNE6M,1179,31,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
67f56e1be35a5ed7d5e7ef0c,66465704f0921cfc20ba6e57,APPROVED,Not Applicable,2025-04-08T18:42:43.137000Z,2025-04-08T18:54:28.939000Z,2025-04-08T18:54:29.987000Z,2025-04-08T18:54:29.855131Z,706,CHFTNE6M,1916,35,Male,Asian,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
67f56ebf3d4517746d8b6103,600150a39d652729f84daf83,APPROVED,Not Applicable,2025-04-08T18:45:29.521000Z,2025-04-08T18:58:06.492000Z,2025-04-08T18:58:07.829000Z,2025-04-08T18:58:07.662829Z,757,CHFTNE6M,5944,41,Female,White,United States,United States,United States,English,No,Full-Time
67f5709e7fc6091fa183e206,62162ab583fc823e78c025e2,APPROVED,Not Applicable,2025-04-08T18:53:29.799000Z,2025-04-08T19:07:08.739000Z,2025-04-08T19:07:09.648000Z,2025-04-08T19:07:09.533344Z,819,CHFTNE6M,6013,62,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
67f5792b20776b6fbd4f9f43,58060d08b869700001d70b8c,APPROVED,Not Applicable,2025-04-08T19:29:47.151000Z,2025-04-08T19:54:34.543000Z,2025-04-08T19:54:35.762000Z,2025-04-08T19:54:36.445417Z,1488,CHFTNE6M,1531,36,Male,Black,United States,United States,United States,English,No,Full-Time
