"","ID.true","Word","Label","ConcValCombo","Task","BlockOrder","Group","Response","Accuracy","EventTime","Value","RT","ReactionTime","Key_value_F","Key_value_J","Comments","LogReactionTime","LogRT","TrialNumber"
"26","5d2a3561d3edf900018016a1","Anxious","test_conc","abstract-negative","Concrete","CV","concrete;abstract","abstract",1,1739280176438,"abstract",1447.5,849,"abstract","A","",6.74405918631135,7.27759320944715,26
"27","5d2a3561d3edf900018016a1","Inspiring","test_conc","abstract-positive","Concrete","CV","concrete;abstract","concrete",0,1739280177847,"concrete",1600.16666666667,654,"abstract","A","",6.4831073514572,7.37786306946957,27
"28","5d2a3561d3edf900018016a1","Joyful","test_conc","abstract-positive","Concrete","CV","concrete;abstract","concrete",0,1739280179343,"concrete",1439.66666666667,744,"abstract","A","",6.61204103483309,7.27216688429259,28
"29","5d2a3561d3edf900018016a1","Bitter","test_conc","concrete-negative","Concrete","CV","concrete;abstract","concrete",1,1739280181319,"concrete",1601.33333333333,1223,"abstract","A","",7.10906213568717,7.37859189453176,29
"30","5d2a3561d3edf900018016a1","Bitter","test_conc","abstract-negative","Concrete","CV","concrete;abstract","concrete",0,1739280181319,"concrete",1601.33333333333,1223,"abstract","A","",7.10906213568717,7.37859189453176,30
"31","5d2a3561d3edf900018016a1","Bitter","test_conc","concrete-negative","Concrete","CV","concrete;abstract","abstract",0,1739280183140,"abstract",1601.33333333333,1061,"abstract","A","",6.96696713861398,7.37859189453176,31
"32","5d2a3561d3edf900018016a1","Bitter","test_conc","abstract-negative","Concrete","CV","concrete;abstract","abstract",1,1739280183140,"abstract",1601.33333333333,1061,"abstract","A","",6.96696713861398,7.37859189453176,32
"33","5d2a3561d3edf900018016a1","Cool","test_conc","concrete-positive","Concrete","CV","concrete;abstract","abstract",0,1739280185182,"abstract",1624.66666666667,1285,"abstract","A","",7.15851399732932,7.39305794551704,33
"34","5d2a3561d3edf900018016a1","Helpless","test_conc","abstract-negative","Concrete","CV","concrete;abstract","concrete",0,1739280187032,"concrete",1435.66666666667,1092,"abstract","A","",6.99576615630485,7.269384596386,34
"35","5d2a3561d3edf900018016a1","Loving","test_conc","abstract-positive","Concrete","CV","concrete;abstract","concrete",0,1739280188457,"concrete",1494,662,"abstract","A","",6.49526555593701,7.30921236569276,35
"36","5d2a3561d3edf900018016a1","Hopeless","test_conc","abstract-negative","Concrete","CV","concrete;abstract","abstract",1,1739280189842,"abstract",1672,628,"abstract","A","",6.4425401664682,7.42177579364465,36
"37","5d2a3561d3edf900018016a1","Worthless","test_conc","abstract-negative","Concrete","CV","concrete;abstract","abstract",1,1739280191213,"abstract",1509.5,611,"abstract","A","",6.4150969591716,7.31953374914689,37
"38","5d2a3561d3edf900018016a1","Greasy","test_conc","concrete-negative","Concrete","CV","concrete;abstract","concrete",1,1739280193047,"concrete",1481.83333333333,1074,"abstract","A","",6.97914527506881,7.30103533889308,38
"39","5d2a3561d3edf900018016a1","Noisy","test_conc","concrete-negative","Concrete","CV","concrete;abstract","concrete",1,1739280194600,"concrete",1383,798,"abstract","A","",6.68210859744981,7.23201033166476,39
"40","5d2a3561d3edf900018016a1","Bright","test_conc","concrete-positive","Concrete","CV","concrete;abstract","concrete",1,1739280195978,"concrete",1483.83333333333,621,"abstract","A","",6.43133108193348,7.30238410834562,40
"41","5d2a3561d3edf900018016a1","Despairing","test_conc","abstract-negative","Concrete","CV","concrete;abstract","abstract",1,1739280197618,"abstract",1587.66666666667,882,"abstract","A","",6.78219205600679,7.37002071213275,41
"42","5d2a3561d3edf900018016a1","Fresh","test_conc","concrete-positive","Concrete","CV","concrete;abstract","concrete",1,1739280199027,"concrete",1394.66666666667,651,"abstract","A","",6.47850964220857,7.24041071707665,42
"43","5d2a3561d3edf900018016a1","Rotten","test_conc","concrete-negative","Concrete","CV","concrete;abstract","abstract",0,1739280200675,"abstract",1524.33333333333,893,"abstract","A","",6.7945865808765,7.32931243498995,43
"44","5d2a3561d3edf900018016a1","Greasy","test_conc","concrete-negative","Concrete","CV","concrete;abstract","abstract",0,1739280202369,"abstract",1481.83333333333,937,"abstract","A","",6.84268328223842,7.30103533889308,44
"45","5d2a3561d3edf900018016a1","Loving","test_conc","abstract-positive","Concrete","CV","concrete;abstract","concrete",0,1739280203726,"concrete",1494,603,"abstract","A","",6.40191719672719,7.30921236569276,45
"46","5d2a3561d3edf900018016a1","Soft","test_conc","concrete-positive","Concrete","CV","concrete;abstract","concrete",1,1739280205088,"concrete",1710.5,601,"abstract","A","",6.39859493453521,7.44454100441766,46
"47","5d2a3561d3edf900018016a1","Grateful","test_conc","abstract-positive","Concrete","CV","concrete;abstract","abstract",1,1739280207024,"abstract",1590.83333333333,1180,"abstract","A","",7.07326971745971,7.37201326693179,47
"48","5d2a3561d3edf900018016a1","Resilient","test_conc","abstract-positive","Concrete","CV","concrete;abstract","abstract",1,1739280208881,"abstract",1558.66666666667,1101,"abstract","A","",7.00397413672268,7.35158603392385,48
"49","5d2a3561d3edf900018016a1","Worthless","test_conc","abstract-negative","Concrete","CV","concrete;abstract","abstract",1,1739280211154,"abstract",1509.5,1517,"abstract","A","",7.32448997934853,7.31953374914689,49
"50","5d2a3561d3edf900018016a1","Despairing","test_conc","abstract-negative","Concrete","CV","concrete;abstract","abstract",1,1739280213130,"abstract",1587.66666666667,1223,"abstract","A","",7.10906213568717,7.37002071213275,50
"51","5d2a3561d3edf900018016a1","Joyful","test_conc","abstract-positive","Concrete","CV","concrete;abstract","concrete",0,1739280214396,"concrete",1439.66666666667,506,"abstract","A","",6.22653666928747,7.27216688429259,51
"52","5d2a3561d3edf900018016a1","Helpless","test_conc","abstract-negative","Concrete","CV","concrete;abstract","abstract",1,1739280215866,"abstract",1435.66666666667,717,"abstract","A","",6.57507584059962,7.269384596386,52
"53","5d2a3561d3edf900018016a1","Lonely","test_conc","abstract-negative","Concrete","CV","concrete;abstract","abstract",1,1739280216831,"abstract",1323,208,"abstract","A","",5.33753807970132,7.18765716411496,53
"54","5d2a3561d3edf900018016a1","Bitter","test_conc","concrete-negative","Concrete","CV","concrete;abstract","abstract",0,1739280218939,"abstract",1601.33333333333,1353,"abstract","A","",7.21007962817079,7.37859189453176,54
"55","5d2a3561d3edf900018016a1","Bitter","test_conc","abstract-negative","Concrete","CV","concrete;abstract","abstract",1,1739280218939,"abstract",1601.33333333333,1353,"abstract","A","",7.21007962817079,7.37859189453176,55
"56","5d2a3561d3edf900018016a1","Colorful","test_conc","concrete-positive","Concrete","CV","concrete;abstract","concrete",1,1739280220329,"concrete",1799.16666666667,634,"abstract","A","",6.45204895443723,7.49507887372085,56
"57","5d2a3561d3edf900018016a1","Ashamed","test_conc","abstract-negative","Concrete","CV","concrete;abstract","concrete",0,1739280221928,"concrete",1571.33333333333,844,"abstract","A","",6.73815249459596,7.35967979482797,57
"58","5d2a3561d3edf900018016a1","Fearful","test_conc","abstract-negative","Concrete","CV","concrete;abstract","concrete",0,1739280223697,"concrete",1819.83333333333,1011,"abstract","A","",6.91869521902047,7.50650020078601,58
"59","5d2a3561d3edf900018016a1","Bitter","test_conc","concrete-negative","Concrete","CV","concrete;abstract","concrete",1,1739280225806,"concrete",1601.33333333333,1354,"abstract","A","",7.21081845347222,7.37859189453176,59
"60","5d2a3561d3edf900018016a1","Bitter","test_conc","abstract-negative","Concrete","CV","concrete;abstract","concrete",0,1739280225806,"concrete",1601.33333333333,1354,"abstract","A","",7.21081845347222,7.37859189453176,60
"61","5d2a3561d3edf900018016a1","Smelly","test_conc","concrete-negative","Concrete","CV","concrete;abstract","abstract",0,1739280227529,"abstract",1549.66666666667,966,"abstract","A","",6.87316383421252,7.34579513302247,61
"62","5d2a3561d3edf900018016a1","Warm","test_conc","concrete-positive","Concrete","CV","concrete;abstract","concrete",1,1739280229034,"concrete",1548.5,750,"abstract","A","",6.62007320653036,7.34504199941326,62
"63","5d2a3561d3edf900018016a1","Hopeful","test_conc","abstract-positive","Concrete","CV","concrete;abstract","concrete",0,1739280230640,"concrete",1634.66666666667,847,"abstract","A","",6.74170069465205,7.39919418894794,63
"64","5d2a3561d3edf900018016a1","Rough","test_conc","concrete-negative","Concrete","CV","concrete;abstract","abstract",0,1739280232846,"abstract",1899,1455,"abstract","A","",7.28276117960559,7.54908271081229,64
"65","5d2a3561d3edf900018016a1","Generous","test_conc","abstract-positive","Concrete","CV","concrete;abstract","concrete",0,1739280235471,"concrete",1821.83333333333,1869,"abstract","A","",7.53315880745556,7.50759859906578,65
"66","5d2a3561d3edf900018016a1","Peaceful","test_conc","abstract-positive","Concrete","CV","concrete;abstract","abstract",1,1739280236603,"abstract",1316.16666666667,376,"abstract","A","",5.92958914338989,7.18247875026953,66
"67","5d2a3561d3edf900018016a1","Cold","test_conc","concrete-negative","Concrete","CV","concrete;abstract","abstract",0,1739280238574,"abstract",1595.66666666667,1218,"abstract","A","",7.10496544826984,7.3750469007244,67
"68","5d2a3561d3edf900018016a1","Dark","test_conc","concrete-negative","Concrete","CV","concrete;abstract","abstract",0,1739280240535,"abstract",1543.33333333333,1204,"abstract","A","",7.09340462586877,7.34169985841217,68
"69","5d2a3561d3edf900018016a1","Sticky","test_conc","concrete-negative","Concrete","CV","concrete;abstract","concrete",1,1739280241966,"concrete",1553,676,"abstract","A","",6.51619307604296,7.34794382314869,69
"70","5d2a3561d3edf900018016a1","Harmonious","test_conc","abstract-positive","Concrete","CV","concrete;abstract","concrete",0,1739280244099,"concrete",1530.66666666667,1377,"abstract","A","",7.22766249872865,7.33345864933129,70
"71","5d2a3561d3edf900018016a1","Cool","test_conc","concrete-positive","Concrete","CV","concrete;abstract","abstract",0,1739280246258,"abstract",1624.66666666667,1403,"abstract","A","",7.24636808010246,7.39305794551704,71
"72","5d2a3561d3edf900018016a1","Fresh","test_conc","concrete-positive","Concrete","CV","concrete;abstract","concrete",1,1739280247599,"concrete",1394.66666666667,580,"abstract","A","",6.36302810354046,7.24041071707665,72
"73","5d2a3561d3edf900018016a1","Regretful","test_conc","abstract-negative","Concrete","CV","concrete;abstract","concrete",0,1739280249332,"concrete",1579.66666666667,974,"abstract","A","",6.88141130364254,7.36496913329948,73
"74","5d2a3561d3edf900018016a1","Bright","test_conc","concrete-positive","Concrete","CV","concrete;abstract","concrete",1,1739280251192,"concrete",1483.83333333333,1103,"abstract","A","",7.0057890192535,7.30238410834562,74
"75","5d2a3561d3edf900018016a1","Inspiring","test_conc","abstract-positive","Concrete","CV","concrete;abstract","concrete",0,1739280253962,"concrete",1600.16666666667,2013,"abstract","A","",7.60738142563979,7.37786306946957,75
"76","5d2a3561d3edf900018016a1","Fragrant","test_conc","concrete-positive","Concrete","CV","concrete;abstract","concrete",1,1739280255772,"concrete",1582.83333333333,1053,"abstract","A","",6.95939851213398,7.3669717690149,76
"77","5d2a3561d3edf900018016a1","Kind","test_conc","abstract-positive","Concrete","CV","concrete;abstract","concrete",0,1739280257321,"concrete",1406.66666666667,796,"abstract","A","",6.67959918584438,7.24897811836195,77
"78","5d2a3561d3edf900018016a1","Hopeless","test_conc","abstract-negative","Concrete","CV","concrete;abstract","abstract",1,1739280258678,"abstract",1672,599,"abstract","A","",6.39526159811545,7.42177579364465,78
"79","5d2a3561d3edf900018016a1","Clean","test_conc","concrete-positive","Concrete","CV","concrete;abstract","concrete",1,1739280260075,"concrete",1486,644,"abstract","A","",6.46769872610435,7.3038432252777,79
