Word,FeatureCombo
worthless,abstract-negative
awful,abstract-negative
evil,abstract-negative
soulless,abstract-negative
heartless,abstract-negative
sexist,abstract-negative
crappy,abstract-negative
stupid,abstract-negative
sinful,abstract-negative
disloyal,abstract-negative
sunny,concrete-positive
lilac,concrete-positive
human,concrete-positive
female,concrete-positive
newborn,concrete-positive
blooming,concrete-positive
orange,concrete-positive
starry,concrete-positive
pregnant,concrete-positive
handmade,concrete-positive
honest,abstract-positive
lovable,abstract-positive
thankful,abstract-positive
splendid,abstract-positive
possible,abstract-positive
sensible,abstract-positive
mindful,abstract-positive
pleasant,abstract-positive
helpful,abstract-positive
divine,abstract-positive
toothless,concrete-negative
headless,concrete-negative
bloodshot,concrete-negative
rusted,concrete-negative
thorny,concrete-negative
hairy,concrete-negative
dirty,concrete-negative
wrinkled,concrete-negative
freezing,concrete-negative
bloody,concrete-negative
