Word,FeatureCombo
build,concrete-positive
cook,concrete-positive
cuddle,concrete-positive
eat,concrete-positive
hug,concrete-positive
kiss,concrete-positive
running,concrete-positive
sail,concrete-positive
smile,concrete-positive
swing,concrete-positive
bleed,concrete-negative
kill,concrete-negative
murder,concrete-negative
puke,concrete-negative
scratch,concrete-negative
slap,concrete-negative
smack,concrete-negative
spit,concrete-negative
stab,concrete-negative
vomit,concrete-negative
annoy,abstract-negative
befall,abstract-negative
criticize,abstract-negative
exploit,abstract-negative
loathe,abstract-negative
obsess,abstract-negative
resent,abstract-negative
scorn,abstract-negative
violate,abstract-negative
worry,abstract-negative
imagine,abstract-positive
enlighten,abstract-positive
admired,abstract-positive
cherish,abstract-positive
hope,abstract-positive
believe,abstract-positive
fulfill,abstract-positive
esteem,abstract-positive
justify,abstract-positive
respect,abstract-positive
