Word,Concreteness,Group,F_value,J_value
triangular,objective,A,objective,subjective
metallic,objective,A,objective,subjective
wet,objective,A,objective,subjective
frozen,objective,A,objective,subjective
empty,objective,A,objective,subjective
pretty,subjective,A,objective,subjective
ugly,subjective,A,objective,subjective
tacky,subjective,A,objective,subjective
overrated,subjective,A,objective,subjective
comforting,subjective,A,objective,subjective
