Word,Concreteness,Group,F_value,J_value
triangular,physical,B,social,physical
metallic,physical,B,social,physical
wet,physical,B,social,physical
frozen,physical,B,social,physical
round,physical,B,social,physical
loyal,social,B,social,physical
diplomatic,social,B,social,physical
aloof,social,B,social,physical
overrated,social,B,social,physical
comforting,social,B,social,physical
