Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
678502d8eae8a0a0fbf604d7,62fe6312269d0e4ae894297b,APPROVED,Not Applicable,2025-01-13T12:11:07.550000Z,2025-01-13T12:20:04.002000Z,2025-01-13T12:20:06.143000Z,2025-01-13T12:20:04.679430Z,537.0,CHFTNE6M,3736,35,Male,White,United States,United States,United States,English,No,Full-Time
6785048904bde1bb75315a19,5ee834d45f0f48129a79b683,APPROVED,Not Applicable,2025-01-13T12:21:02.592000Z,2025-01-13T12:33:34.725000Z,2025-01-13T12:33:35.824000Z,2025-01-13T12:33:35.731467Z,753.0,CHFTNE6M,1346,39,Female,Mixed,United States,United States,United States,English,No,Part-Time
678506d1112b315b77abad3f,65327a954fb10f7a6e444ae6,APPROVED,Not Applicable,2025-01-13T12:28:09.506000Z,2025-01-13T12:39:04.285000Z,2025-01-13T12:39:07.818000Z,2025-01-13T12:39:04.928686Z,655.0,CHFTNE6M,1540,48,Female,White,United States,United States,United States,English,No,Part-Time
678506ee7d4e9d8e1d54b628,62f975cbc3507ecf77180d00,APPROVED,Not Applicable,2025-01-13T12:28:34.138000Z,2025-01-13T12:37:30.987000Z,2025-01-13T12:37:31.722000Z,2025-01-13T12:37:31.632935Z,537.0,CHFTNE6M,1971,21,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
678507514ed75a4a3424b0f6,603421c858a3bd213d7c24b2,APPROVED,Not Applicable,2025-01-13T12:36:24.845000Z,2025-01-13T12:46:52.269000Z,2025-01-13T12:47:44.231000Z,2025-01-13T12:47:41.379526Z,628.0,CHFTNE6M,2693,21,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6785050c17da5cc54a6d4ae4,5bab94e36c661a0001aea8ec,RETURNED,Not Applicable,2025-01-13T12:20:35.715000Z,,,,,,3406,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
