Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
67e289b655a03e52547a2a13,5c110067753adc00015913e3,APPROVED,Not Applicable,2025-03-25T10:47:24.512000Z,2025-03-25T11:04:43.541000Z,2025-03-25T11:04:44.649000Z,2025-03-25T11:04:44.533086Z,1040,CHFTNE6M,5875,62,Female,White,United States,United States,United States,English,No,Full-Time
67e28c9b41f5636ea92dd847,5c7c73b6f48c6d0001f6f49c,APPROVED,Not Applicable,2025-03-25T11:07:57.342000Z,2025-03-25T11:23:01.742000Z,2025-03-25T11:23:05.804000Z,2025-03-25T11:23:03.005707Z,905,CHFTNE6M,5279,30,Male,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
67e28f4a00cc21bd366502cb,64017b47c83e917541f7c592,APPROVED,Not Applicable,2025-03-25T11:11:12.134000Z,2025-03-25T11:20:38.764000Z,2025-03-25T11:20:41.862000Z,2025-03-25T11:20:39.299603Z,567,CHFTNE6M,1740,33,Female,Mixed,United States,United States,United States,English,No,Full-Time
67e2975f975f702d35a6492d,66e0dc819ca421d2e6da6d67,APPROVED,Not Applicable,2025-03-25T11:46:51.679000Z,2025-03-25T12:07:11.331000Z,2025-03-25T12:07:12.141000Z,2025-03-25T12:07:12.021922Z,1220,CHFTNE6M,1206,52,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
67e29b8b03b7148d0d08954d,63a3375101319bb7cb39f654,APPROVED,Not Applicable,2025-03-25T12:03:30.181000Z,2025-03-25T12:17:47.138000Z,2025-03-25T12:17:49.635000Z,2025-03-25T12:17:49.495416Z,857,CHFTNE6M,2385,54,Female,Black,United States,United States,United States,English,No,Part-Time
