Word,Concreteness
triangular,physical
metallic,physical
wet,physical
frozen,physical
round,physical
loyal,social
diplomatic,social
aloof,social
overrated,social
comforting,social
free,neutral
grin,concrete
hat,concrete
icebox,concrete
industry,neutral
insecure,abstract
invader,concrete
jail,concrete
joke,neutral
kitten,concrete
