Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
69b190593ef0dddddb6e589d,60a2a8570a0f9cc00d6b9d1a,APPROVED,Not Applicable,2026-03-11T15:55:09.493000Z,2026-03-11T16:08:21.094000Z,2026-03-11T16:08:22.342000Z,2026-03-11T16:08:21.479323Z,792.0,C1KMCHFH,8335,47,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
69b1905c0afc9f5e731a06cc,673cc0c935b49103f2be1e27,APPROVED,Not Applicable,2026-03-11T15:55:17.353000Z,2026-03-11T16:08:21.634000Z,2026-03-11T16:08:27.237000Z,2026-03-11T16:08:21.999980Z,785.0,C1KMCHFH,4635,32,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
69b190722cf4ecb6b5e8e20a,62d59a066ee263bb659aa445,APPROVED,Not Applicable,2026-03-11T15:55:30.267000Z,2026-03-11T16:08:25.617000Z,2026-03-11T16:08:26.064000Z,2026-03-11T16:08:25.968782Z,776.0,C1KMCHFH,15936,72,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
69b1907b272a5035588a2cf2,66200b032829f40f3664afdf,RETURNED,Not Applicable,,,,2026-05-29T09:39:25.294587Z,,,7401,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
69b190fb93834b58155be115,66c7454fd07985772fedfac6,RETURNED,Not Applicable,,,,2026-05-29T09:39:25.295475Z,,,1763,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
69b191499f0165411f085820,5e1510a1c76aa6b119558fd6,APPROVED,Not Applicable,2026-03-11T15:59:59.325000Z,2026-03-11T16:11:25.643000Z,2026-03-11T16:11:26.747000Z,2026-03-11T16:11:26.027628Z,687.0,C1KMCHFH,12156,36,Male,White,United States,United States,United States,English,No,Full-Time
69b195a313a39f6d09c1ea01,669fdd4af93a18826157cf94,APPROVED,Not Applicable,2026-03-11T16:17:45.375000Z,2026-03-11T16:31:00.414000Z,2026-03-11T16:31:03.578000Z,2026-03-11T16:31:00.987805Z,796.0,C1KMCHFH,1586,44,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
