Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6835d201cd579b0dec0eff3c,67447a01deb7398581f3b3be,APPROVED,Not Applicable,2025-05-27T14:53:53.727000Z,2025-05-27T15:46:46.986000Z,2025-05-27T15:46:47.722000Z,2025-05-27T15:46:47.600938Z,3174.0,CHFTNE6M,1050,22,Male,Black,United States,United States,United States,English,DATA_EXPIRED,Other
6835d386cd9c6d2c5fc4ed7f,607cbf385d3202721e3f719f,APPROVED,Not Applicable,2025-05-27T15:00:28.605000Z,2025-05-27T15:14:51.277000Z,2025-05-27T15:14:55.026000Z,2025-05-27T15:14:51.817495Z,863.0,CHFTNE6M,7241,57,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6835d54b84aa70907b82506f,67c111bb12926008b56bc878,APPROVED,Not Applicable,2025-05-27T15:07:59.837000Z,2025-05-27T15:23:49.401000Z,2025-05-27T15:23:51.198000Z,2025-05-27T15:23:50.073507Z,950.0,CHFTNE6M,1686,56,Male,White,United States,United States,United States,English,No,Other
6835d5dcb90e88f83c43305f,599de70d8a6cc5000128f980,APPROVED,Not Applicable,2025-05-27T15:10:24.509000Z,2025-05-27T15:28:37.287000Z,2025-05-27T15:28:37.893000Z,2025-05-27T15:28:37.782376Z,1093.0,CHFTNE6M,6639,55,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6835de09fbf59267d00e7cba,59f71f797086f80001941493,APPROVED,Not Applicable,2025-05-27T15:45:20.882000Z,2025-05-27T15:56:54.071000Z,2025-05-27T15:56:56.554000Z,2025-05-27T15:56:54.700970Z,694.0,CHFTNE6M,6380,50,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6835d27cac9351a49774bd8e,645e4f49d473048703d162cb,RETURNED,Not Applicable,2025-05-27T14:55:56.667000Z,,,,,,2676,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6835d865592ad640adda7395,63ecff07b619306f41db42fa,RETURNED,Not Applicable,2025-05-27T15:21:09.668000Z,,,,,,7944,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6835d9522f0079caa8ee5c26,6627e29477d23bd171a6728a,RETURNED,Not Applicable,2025-05-27T15:28:21.747000Z,,,,,,4740,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
