Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6835ce00cc178b8b4c531e4b,664df977e4e6d25d66bf64cb,APPROVED,Not Applicable,2025-05-27T14:36:53.392000Z,2025-05-27T14:53:28.023000Z,2025-05-27T14:53:28.730000Z,2025-05-27T14:53:28.551334Z,995.0,CHFTNE6M,1431,35,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
6835ce8b7bbc3d2fd2725896,67dde6a93fd14707f0f58801,APPROVED,Not Applicable,2025-05-27T14:39:17.629000Z,2025-05-27T14:51:55.259000Z,2025-05-27T14:51:55.961000Z,2025-05-27T14:51:55.808018Z,758.0,CHFTNE6M,1288,27,Male,Black,United States,United States,United States,English,Yes,Part-Time
6835ce934755785be456ef4a,580cab86b869700001d71628,APPROVED,Not Applicable,2025-05-27T14:39:17.994000Z,2025-05-27T14:51:32.814000Z,2025-05-27T14:51:34.732000Z,2025-05-27T14:51:33.350028Z,735.0,CHFTNE6M,8334,62,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6835cea2923c8c90feac7744,667c66be2cfdb420fd63f2c9,APPROVED,Not Applicable,2025-05-27T14:39:44.606000Z,2025-05-27T14:59:39.192000Z,2025-05-27T14:59:41.491000Z,2025-05-27T14:59:39.849786Z,1195.0,CHFTNE6M,2392,61,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6835cfcdc7425442beaa941c,66114844b8efff4b2af276ec,APPROVED,Not Applicable,2025-05-27T14:44:34.324000Z,2025-05-27T14:54:34.783000Z,2025-05-27T14:54:35.440000Z,2025-05-27T14:54:35.293712Z,601.0,CHFTNE6M,1819,63,Female,White,United States,United States,United States,English,No,Other
6835ce31649fd0ff3baa6be3,66f4461fe6cf2a459a3e7180,RETURNED,Not Applicable,2025-05-27T14:37:41.118000Z,,,,,,5329,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
