Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6835db6e68518ee75ea925a9,66bf519b34c66d259e5554d1,APPROVED,Not Applicable,2025-05-27T15:34:10.637000Z,2025-05-27T16:03:11.521000Z,2025-05-27T16:03:14.591000Z,2025-05-27T16:03:12.068465Z,1741,CHFTNE6M,1357,43,Female,White,United States,United States,United States,English,Yes,DATA_EXPIRED
6835db9c15a86697e7ef9f2f,6051536b3e81428095504b35,APPROVED,Not Applicable,2025-05-27T15:36:49.267000Z,2025-05-27T15:51:47.255000Z,2025-05-27T15:51:47.893000Z,2025-05-27T15:51:47.788046Z,898,CHFTNE6M,9281,66,Male,White,United States,United States,United States,English,No,Part-Time
6835dcf67b57cec428dffc96,5d53bffa147a7d00015aae5a,APPROVED,Not Applicable,2025-05-27T15:40:38.172000Z,2025-05-27T15:51:09.864000Z,2025-05-27T15:51:12.591000Z,2025-05-27T15:51:10.347951Z,632,CHFTNE6M,4201,32,Female,White,United States,United States,United States,English,No,Full-Time
6835dd4be0f0d24a30eeee38,65631b21aff167a83105c476,APPROVED,Not Applicable,2025-05-27T15:42:51.481000Z,2025-05-27T15:58:24.197000Z,2025-05-27T15:58:24.882000Z,2025-05-27T15:58:24.731097Z,933,CHFTNE6M,2084,72,Female,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6835def3c64bef9cb1ef9e9c,5d100e740277ff00152f7562,APPROVED,Not Applicable,2025-05-27T15:49:10.990000Z,2025-05-27T16:03:56.848000Z,2025-05-27T16:03:57.694000Z,2025-05-27T16:03:57.561450Z,886,CHFTNE6M,7614,48,Female,White,United States,United States,United States,English,No,Full-Time
