Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
67ec095020b0ea1912f730a2,60d8b2566935da51a82c650d,APPROVED,Not Applicable,2025-04-01T15:42:20.958000Z,2025-04-01T15:52:58.881000Z,2025-04-01T15:53:30.959000Z,2025-04-01T15:53:01.029002Z,638,CHFTNE6M,3291,25,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking)
67ec0a4875dd2502d2abaed4,5b21c4ab31d0080001b9f55e,APPROVED,Not Applicable,2025-04-01T15:46:26.490000Z,2025-04-01T15:56:53.844000Z,2025-04-01T15:57:25.916000Z,2025-04-01T15:56:54.880272Z,628,CHFTNE6M,7243,28,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
67ec0aaa1da22928303fc5fd,561d98e03d7fe8000b0f5e09,APPROVED,Not Applicable,2025-04-01T15:48:17.449000Z,2025-04-01T16:01:43.236000Z,2025-04-01T16:02:08.960000Z,2025-04-01T16:01:44.221857Z,806,CHFTNE6M,8590,67,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
67ec10d2e20a5c164c2c9f78,60ff2c3d915d23318b73ae8d,APPROVED,Not Applicable,2025-04-01T16:14:44.220000Z,2025-04-01T16:31:55.163000Z,2025-04-01T16:32:19.399000Z,2025-04-01T16:31:56.993793Z,1031,CHFTNE6M,2822,52,Female,White,United States,United States,United States,English,No,Part-Time
67ec123cf06e3ce09192d943,651c1abbc73b6eea8fa97193,APPROVED,Not Applicable,2025-04-01T16:20:45.479000Z,2025-04-01T16:32:38.036000Z,2025-04-01T16:33:02.387000Z,2025-04-01T16:32:40.158954Z,713,CHFTNE6M,3149,69,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
