Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
67ebe041ae7eaf778ddb9221,65cb708afe5755feaeec417f,APPROVED,Not Applicable,2025-04-01T12:47:03.794000Z,2025-04-01T12:56:51.674000Z,2025-04-01T12:56:52.784000Z,2025-04-01T12:56:52.607664Z,588,CHFTNE6M,1276,21,Female,Asian,United States,United States,United States,English,Yes,Unemployed (and job seeking)
67ebec3891dcb3c42d3fe659,66514573b9a70d7b816ef18f,APPROVED,Not Applicable,2025-04-01T13:38:07.992000Z,2025-04-01T13:47:44.732000Z,2025-04-01T13:47:46.543000Z,2025-04-01T13:47:45.613439Z,577,CHFTNE6M,1895,49,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
67ebedaae651db061057c901,65b284df91ee570e25ba50a3,APPROVED,Not Applicable,2025-04-01T13:46:18.330000Z,2025-04-01T13:59:39.930000Z,2025-04-01T13:59:51.946000Z,2025-04-01T13:59:40.976267Z,802,CHFTNE6M,2401,46,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
67ebf0b8e2266b68d430010b,60b3e6ad448226548d21fc4d,APPROVED,Not Applicable,2025-04-01T13:57:57.680000Z,2025-04-01T14:13:21.748000Z,2025-04-01T14:14:04.011000Z,2025-04-01T14:13:22.627449Z,925,CHFTNE6M,7360,54,Female,White,United States,United States,United States,English,DATA_EXPIRED,Part-Time
67ebf30d78d784a5c1346aaa,6234e1b277e7fe207a9ad500,APPROVED,Not Applicable,2025-04-01T14:07:14.574000Z,2025-04-01T14:21:24.611000Z,2025-04-01T14:22:06.032000Z,2025-04-01T14:21:37.283250Z,851,CHFTNE6M,3672,54,Male,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
