"","Experiment","Task","MeanReactionTime","CILow","CIHigh","YMin","YMax"
"1","Ex1a: Conc-Abs (Verbs)","Concrete",981.978164924506,13.1009291521488,13.396724738676,968.877235772358,995.374889663182
"2","Ex1a: Conc-Abs (Verbs)","Valence",875.776686020545,11.314543322912,11.6824307726663,864.462142697633,887.459116793211
"3","Ex1b: Conc-Abs (Nouns)","Concrete",924.282367149758,13.9384359903381,12.961461352657,910.34393115942,937.243828502415
"4","Ex1b: Conc-Abs (Nouns)","Valence",776.399731423456,9.57510071620413,9.87591763652631,766.824630707252,786.275649059982
"5","Ex1c: Conc-Abs (Adjs)","Concrete",923.428895367671,14.217355037253,14.8093861354065,909.211540330418,938.238281503077
"6","Ex1c: Conc-Abs (Adjs)","Valence",791.689489489489,11.46246996997,12.043475975976,780.227019519519,803.732965465465
"7","Ex2a: Phys-Psych (Verbs)","PhysPsych",1004.68571428571,15.3800655307995,15.2113171690695,989.305648754915,1019.89703145478
"8","Ex2a: Phys-Psych (Verbs)","Valence",829.238036201339,10.116637738656,10.9918423010166,819.121398462683,840.229878502356
"9","Ex2b: Phys-Soc (Adjs)","SocPhys",1052.50054288817,18.4995294969235,18.2778501628663,1034.00101339124,1070.77839305103
"10","Ex2b: Phys-Soc (Adjs)","Valence",801.975880366618,10.3924384949349,10.2809093101785,791.583441871683,812.256789676797
"11","Ex3: Animacy (Nouns)","Animacy",834.423299565847,11.1280330438977,12.1009105161601,823.295266521949,846.524210082007
"12","Ex3: Animacy (Nouns)","Valence",798.911700844391,11.1169662243666,10.7853498190591,787.794734620024,809.69705066345
"13","Ex4: Syntactic (N v. V)","Syntactic",918.770011273957,16.0150037579857,14.9436959789552,902.755007515971,933.713707252912
"14","Ex4: Syntactic (N v. V)","Valence",711.824207492795,8.7219290345821,9.20727665706056,703.102278458213,721.031484149856
