"","Word","ID.true","Experiment","Task","LogReactionTime","Response","Accuracy","ConcValCombo","ExperimentType"
"1","puke","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",6.87212810133899,"concrete",1,"concrete-negative","Categorization"
"2","believe","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",7.50052948539529,"abstract",1,"abstract-positive","Categorization"
"3","slap","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",6.92755790627832,"concrete",1,"concrete-negative","Categorization"
"4","exploit","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",6.68336094576627,"abstract",1,"abstract-negative","Categorization"
"5","criticize","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",7.07157336421153,"concrete",0,"abstract-negative","Categorization"
"6","hope","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",6.34035930372775,"concrete",0,"abstract-positive","Categorization"
"7","justify","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",6.55961523749324,"concrete",0,"abstract-positive","Categorization"
"8","vomit","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",6.57228254269401,"concrete",1,"concrete-negative","Categorization"
"9","smack","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",6.62539236800796,"concrete",1,"concrete-negative","Categorization"
"10","cherish","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",6.50428817353665,"abstract",1,"abstract-positive","Categorization"
"11","running","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",7.13249755166004,"concrete",1,"concrete-positive","Categorization"
"12","sail","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",6.57786135772105,"concrete",1,"concrete-positive","Categorization"
"13","loathe","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",7.00215595440362,"concrete",0,"abstract-negative","Categorization"
"14","bleed","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",7.09423484592476,"concrete",1,"concrete-negative","Categorization"
"15","esteem","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",7.02108396428914,"abstract",1,"abstract-positive","Categorization"
"16","respect","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",7.23201033166476,"abstract",1,"abstract-positive","Categorization"
"17","swing","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",7.0057890192535,"concrete",1,"concrete-positive","Categorization"
"18","hug","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",7.1708884785125,"concrete",1,"concrete-positive","Categorization"
"19","admired","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",7.19818357710194,"abstract",1,"abstract-positive","Categorization"
"20","resent","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",7.29437729928882,"concrete",0,"abstract-negative","Categorization"
"21","imagine","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",6.98378996525813,"abstract",1,"abstract-positive","Categorization"
"22","smile","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",6.46769872610435,"concrete",1,"concrete-positive","Categorization"
"23","worry","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",7.05875815251866,"abstract",1,"abstract-negative","Categorization"
"24","cook","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",6.47697236288968,"concrete",1,"concrete-positive","Categorization"
"25","stab","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",6.47697236288968,"concrete",1,"concrete-negative","Categorization"
"26","spit","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",6.62804137617953,"concrete",1,"concrete-negative","Categorization"
"27","kiss","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",6.49677499018586,"concrete",1,"concrete-positive","Categorization"
"28","build","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",6.61069604471776,"concrete",1,"concrete-positive","Categorization"
"29","obsess","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",6.79570577517351,"abstract",1,"abstract-negative","Categorization"
"30","eat","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",6.39526159811545,"concrete",1,"concrete-positive","Categorization"
