,Word,Experiment,V.Mean.Sum,V.SD.Sum,A.Mean.Sum,A.SD.Sum,D.Mean.Sum,D.SD.Sum
43,build,Ex2a: Phys-Psych (Verbs),6.33,1.68,3.38,2.18,6.5,2.01
44,obsess,Ex1a: Conc-Abs (Verbs),3.23,1.8,4.95,2.41,4.1,2.45
45,obsess,Ex4: Syntactic (N v. V),3.23,1.8,4.95,2.41,4.1,2.45
46,eat,Ex1a: Conc-Abs (Verbs),7.1,1.73,4.38,2.79,7.26,2.01
47,eat,Ex4: Syntactic (N v. V),7.1,1.73,4.38,2.79,7.26,2.01
48,annoy,Ex1a: Conc-Abs (Verbs),2.49,1.42,5.04,2.4,4.64,2.28
49,scorn,Ex1a: Conc-Abs (Verbs),3.07,1.37,4.53,2.33,4.05,2.54
50,scratch,Ex1a: Conc-Abs (Verbs),4.95,1.65,4.35,2.28,4.5,1.85
51,fulfill,Ex1a: Conc-Abs (Verbs),7.33,1.74,3.67,2.37,6.2,2.02
52,fulfill,Ex4: Syntactic (N v. V),7.33,1.74,3.67,2.37,6.2,2.02
53,kill,Ex1a: Conc-Abs (Verbs),1.81,1.6,6.81,2.54,3.61,2.3
54,enlighten,Ex1a: Conc-Abs (Verbs),7.38,1.12,3.23,2.49,6.3,2.25
55,enlighten,Ex4: Syntactic (N v. V),7.38,1.12,3.23,2.49,6.3,2.25
56,cuddle,Ex1a: Conc-Abs (Verbs),7.6,0.99,3.83,2.96,6.65,2.03
57,cuddle,Ex2a: Phys-Psych (Verbs),7.6,0.99,3.83,2.96,6.65,2.03
58,murder,Ex1a: Conc-Abs (Verbs),1.48,0.81,6.24,2.76,3.38,2.28
59,violate,Ex1a: Conc-Abs (Verbs),2.61,1.5,5.76,2.77,2.85,2.06
60,befall,Ex1a: Conc-Abs (Verbs),3.91,1.54,4.24,2.21,4.27,2.05
61,befall,Ex4: Syntactic (N v. V),3.91,1.54,4.24,2.21,4.27,2.05
62,resentment,Ex1b: Conc-Abs (Nouns),3.0,1.89,5.19,2.46,4.05,2.38
63,chocolate,Ex1b: Conc-Abs (Nouns),7.63,2.01,5.14,2.85,5.88,2.51
64,chocolate,Ex4: Syntactic (N v. V),7.63,2.01,5.14,2.85,5.88,2.51
65,sunshine,Ex1b: Conc-Abs (Nouns),8.14,1.13,5.32,3.11,5.43,2.29
66,sunshine,Ex3: Animacy (Nouns),8.14,1.13,5.32,3.11,5.43,2.29
67,grief,Ex1b: Conc-Abs (Nouns),2.33,1.51,4.95,2.6,3.26,2.31
68,grief,Ex4: Syntactic (N v. V),2.33,1.51,4.95,2.6,3.26,2.31
69,garbage,Ex1b: Conc-Abs (Nouns),2.88,1.42,3.84,2.36,5.15,2.49
70,garbage,Ex4: Syntactic (N v. V),2.88,1.42,3.84,2.36,5.15,2.49
71,failure,Ex1b: Conc-Abs (Nouns),2.15,1.17,5.0,2.49,5.04,3.05
72,failure,Ex4: Syntactic (N v. V),2.15,1.17,5.0,2.49,5.04,3.05
73,gratitude,Ex1b: Conc-Abs (Nouns),6.67,2.15,5.09,2.78,6.71,2.12
74,gratitude,Ex4: Syntactic (N v. V),6.67,2.15,5.09,2.78,6.71,2.12
75,fireplace,Ex1b: Conc-Abs (Nouns),5.95,1.5,5.2,3.0,5.56,2.12
76,fireplace,Ex4: Syntactic (N v. V),5.95,1.5,5.2,3.0,5.56,2.12
77,envy,Ex1b: Conc-Abs (Nouns),3.05,1.85,4.35,2.8,3.16,2.08
78,love,Ex1b: Conc-Abs (Nouns),8.0,1.39,5.36,3.23,5.92,2.92
79,rust,Ex1b: Conc-Abs (Nouns),4.05,1.47,3.42,2.43,4.0,2.24
80,rust,Ex2a: Phys-Psych (Verbs),4.05,1.47,3.42,2.43,4.0,2.24
81,smoke,Ex1b: Conc-Abs (Nouns),3.44,2.23,5.0,2.7,4.17,2.2
82,mold,Ex1b: Conc-Abs (Nouns),2.71,1.58,3.77,2.29,4.5,2.42
83,freedom,Ex1b: Conc-Abs (Nouns),7.72,2.12,5.67,2.3,7.37,1.87
84,freedom,Ex4: Syntactic (N v. V),7.72,2.12,5.67,2.3,7.37,1.87
85,filth,Ex1b: Conc-Abs (Nouns),2.62,1.36,4.09,2.58,4.07,2.27
86,rot,Ex1b: Conc-Abs (Nouns),2.65,1.79,4.72,2.42,3.54,2.54
87,kindness,Ex1b: Conc-Abs (Nouns),7.65,1.76,3.96,2.65,6.95,2.12
88,kindness,Ex4: Syntactic (N v. V),7.65,1.76,3.96,2.65,6.95,2.12
89,rain,Ex1b: Conc-Abs (Nouns),6.58,1.75,3.29,2.19,4.25,2.75
90,laughter,Ex1b: Conc-Abs (Nouns),8.05,1.57,5.39,2.88,7.02,2.08
91,laughter,Ex3: Animacy (Nouns),8.05,1.57,5.39,2.88,7.02,2.08
92,home,Ex1b: Conc-Abs (Nouns),7.48,1.7,3.78,2.37,6.77,2.03
93,home,Ex4: Syntactic (N v. V),7.48,1.7,3.78,2.37,6.77,2.03
94,peace,Ex1b: Conc-Abs (Nouns),7.75,1.5,4.65,2.77,7.17,2.19
95,mud,Ex1b: Conc-Abs (Nouns),5.06,1.21,3.19,1.66,4.27,2.43
96,mud,Ex4: Syntactic (N v. V),5.06,1.21,3.19,1.66,4.27,2.43
97,guilt,Ex1b: Conc-Abs (Nouns),2.29,1.35,4.48,2.98,4.35,2.62
98,injury,Ex1b: Conc-Abs (Nouns),2.32,1.63,5.56,2.33,3.6,2.08
99,regret,Ex1b: Conc-Abs (Nouns),3.41,2.17,4.9,2.36,5.63,2.69
100,beach,Ex1b: Conc-Abs (Nouns),7.21,1.51,5.1,2.23,5.7,2.33
101,beach,Ex4: Syntactic (N v. V),7.21,1.51,5.1,2.23,5.7,2.33
102,stench,Ex1b: Conc-Abs (Nouns),2.62,1.37,4.53,2.46,3.47,2.4
103,shame,Ex1b: Conc-Abs (Nouns),2.62,2.11,5.4,2.64,5.21,2.8
104,compassion,Ex1b: Conc-Abs (Nouns),7.9,1.14,4.5,2.17,6.36,2.32
105,compassion,Ex4: Syntactic (N v. V),7.9,1.14,4.5,2.17,6.36,2.32
106,despair,Ex1b: Conc-Abs (Nouns),3.61,2.08,4.64,2.63,4.05,2.15
107,despair,Ex2a: Phys-Psych (Verbs),3.61,2.08,4.64,2.63,4.05,2.15
108,joy,Ex1b: Conc-Abs (Nouns),8.21,1.18,5.55,2.85,7.0,2.05
109,inspiration,Ex1b: Conc-Abs (Nouns),6.53,1.95,4.77,3.13,6.0,2.18
110,inspiration,Ex4: Syntactic (N v. V),6.53,1.95,4.77,3.13,6.0,2.18
111,happiness,Ex1b: Conc-Abs (Nouns),8.48,0.81,6.5,2.63,7.05,2.16
112,anxiety,Ex1b: Conc-Abs (Nouns),2.38,1.66,4.78,2.89,3.39,1.94
113,anxiety,Ex4: Syntactic (N v. V),2.38,1.66,4.78,2.89,3.39,1.94
114,music,Ex1b: Conc-Abs (Nouns),7.67,1.82,5.57,3.09,6.5,2.25
