,Word,V.Mean.Sum,Conc.M,Concreteness,Valence,ConcValCombo
4736,free,8.25,2.04,neutral,positive,neutral-positive
4893,gas,4.06,4.29,concrete,neutral,concrete-neutral
5142,grasshopper,6.05,4.91,concrete,positive,concrete-positive
5180,grin,7.66,4.17,concrete,positive,concrete-positive
5403,hat,5.69,4.88,concrete,neutral,concrete-neutral
5822,icebox,5.67,4.71,concrete,neutral,concrete-neutral
6060,industry,5.07,3.29,neutral,neutral,neutral-neutral
6177,insecure,2.3,1.84,abstract,negative,abstract-negative
6319,invader,2.23,4.11,concrete,negative,concrete-negative
6394,jail,1.91,4.83,concrete,negative,concrete-negative
6450,joke,7.88,2.9,neutral,positive,neutral-positive
6533,kick,4.55,4.33,concrete,neutral,concrete-neutral
6573,kitten,7.58,4.86,concrete,positive,concrete-positive
7170,marriage,7.56,2.51,neutral,positive,neutral-positive
8829,polite,6.57,1.85,abstract,positive,abstract-positive
10607,shirt,5.56,4.94,concrete,neutral,concrete-neutral
11566,sugar,6.56,4.87,concrete,positive,concrete-positive
11987,theory,5.65,1.47,abstract,neutral,abstract-neutral
13168,whistle,5.7,4.42,concrete,neutral,concrete-neutral
