Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
67e565b315f0fd0df260f298,65c1501098be0f409188762f,APPROVED,Not Applicable,2025-03-27T14:50:51.996000Z,2025-03-27T15:04:12.971000Z,2025-03-27T15:04:13.801000Z,2025-03-27T15:04:13.708178Z,801,CHFTNE6M,1600,33,Female,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
67e56891679e4acc57d44144,60ee4bb7de4352af0286e091,APPROVED,Not Applicable,2025-03-27T15:02:52.931000Z,2025-03-27T15:25:22.433000Z,2025-03-27T15:25:23.602000Z,2025-03-27T15:25:23.513271Z,1350,CHFTNE6M,2415,28,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
67e569b1fc49a15350a9486d,63f0e61bbeb61d5ced623832,APPROVED,Not Applicable,2025-03-27T15:07:40.824000Z,2025-03-27T15:19:42.411000Z,2025-03-27T15:19:44.350000Z,2025-03-27T15:19:44.406522Z,722,CHFTNE6M,4777,52,Female,White,United States,United States,United States,English,No,Full-Time
67e56dd6d27e1101d61da6fd,598e325033481c000164d2aa,APPROVED,Not Applicable,2025-03-27T15:25:14.900000Z,2025-03-27T15:36:16.998000Z,2025-03-27T15:36:17.955000Z,2025-03-27T15:36:17.797652Z,663,CHFTNE6M,4538,61,Female,White,United States,United States,United States,English,No,Full-Time
67e57053a57c8bce8aba430f,63d432e27555fb4b5785cfcd,APPROVED,Not Applicable,2025-03-27T15:42:20.043000Z,2025-03-27T16:18:16.937000Z,2025-03-27T16:18:54.583000Z,2025-03-27T16:18:18.056864Z,2157,CHFTNE6M,1650,35,Female,White,United States,United States,United States,English,No,Full-Time
