Word,V.Mean.Sum,V.SD.Sum,SUBTLWF,Valence,Concreteness,word_length,Group
spirited,7.57,1.12,1.22,positive,abstract,8,C
nauseous,1.95,1.85,3.1,negative,neutral,8,C
selfless,7.11,1.49,1.82,positive,abstract,8,C
bubonic,2.17,1.47,0.41,negative,neutral,7,C
blissful,7.67,1.24,0.53,positive,neutral,8,C
frustrating,2.57,1.43,2.47,negative,abstract,11,C
starry,7.4,1.5,0.73,positive,concrete,6,C
accurate,7.42,1.57,7.84,positive,abstract,8,C
fabulous,7.84,1.54,20.51,positive,neutral,8,C
liberating,7.75,1.45,0.96,positive,abstract,10,D
unsanitary,1.79,1.23,0.41,negative,neutral,10,D
deformed,2.26,1.1,1.29,negative,neutral,8,D
rancid,2.38,1.72,0.49,negative,neutral,6,D
helpful,7.43,1.43,12.14,positive,abstract,7,D
irritable,2.85,0.93,1.45,negative,neutral,9,D
pathological,2.71,1.45,1.47,negative,abstract,12,D
easygoing,7.03,1.35,0.43,positive,abstract,9,D
charitable,7.33,1.15,2.04,positive,neutral,10,D
hearty,7.25,1.33,1.94,positive,neutral,6,D
troublesome,2.74,1.19,1.55,negative,neutral,11,D
unfeeling,2.79,1.18,0.65,negative,neutral,9,D
carefree,7.32,1.49,1.35,positive,abstract,8,D
carsick,2.48,1.33,0.61,negative,neutral,7,D
disabled,2.7,1.15,3.47,negative,neutral,8,D
dreaded,2.11,1.33,1.35,negative,neutral,7,D
catastrophic,2.05,1.1,1.27,negative,neutral,12,D
heartbroken,1.95,1.0,1.82,negative,neutral,11,D
joyous,7.45,1.82,1.35,positive,neutral,6,D
enraged,2.33,1.39,0.69,negative,neutral,7,D
enjoyable,7.63,1.5,1.94,positive,neutral,9,D
defenseless,2.68,1.42,1.33,negative,neutral,11,D
comfy,7.25,1.41,2.25,positive,neutral,5,D
nutritious,7.09,1.44,0.88,positive,neutral,10,D
pleasing,7.65,1.09,1.55,positive,neutral,8,D
saggy,2.62,1.43,0.57,negative,neutral,5,D
repulsive,1.95,1.2,2.02,negative,neutral,9,D
toxic,2.35,1.27,4.9,negative,neutral,5,D
peaceful,8.0,1.78,11.24,positive,neutral,8,D
skilled,7.05,1.05,2.37,positive,abstract,7,D
discriminating,2.33,1.15,0.49,negative,abstract,14,D
disastrous,2.21,1.93,1.67,negative,neutral,10,D
hilarious,7.8,1.54,5.78,positive,neutral,9,D
deathly,1.95,1.18,0.55,negative,abstract,7,D
traumatic,2.22,1.4,2.71,negative,neutral,9,D
overcrowded,2.55,1.53,0.45,negative,neutral,11,D
relaxing,8.19,0.93,3.61,positive,neutral,8,D
unethical,2.19,1.36,1.76,negative,abstract,9,D
hypodermic,2.9,1.33,0.67,negative,neutral,10,D
retarded,2.25,1.55,6.24,negative,neutral,8,D
newborn,7.48,1.69,2.51,positive,concrete,7,D
incurable,1.9,1.61,1.02,negative,abstract,9,E
fascinating,7.37,1.26,15.08,positive,abstract,11,E
fruitless,2.95,1.32,0.45,negative,neutral,9,E
devastating,2.09,1.31,2.73,negative,neutral,11,E
brotherly,7.45,1.36,0.84,positive,abstract,9,E
radiant,7.29,1.31,2.16,positive,neutral,7,E
valuable,7.17,1.42,15.59,positive,neutral,8,E
orphaned,2.55,1.61,0.39,negative,neutral,8,E
unkind,2.55,1.54,1.39,negative,neutral,6,E
abusive,2.05,1.7,1.63,negative,neutral,7,E
harmful,2.29,1.95,1.29,negative,neutral,7,E
golden,7.79,1.44,23.27,positive,neutral,6,E
inconvenient,2.73,1.16,1.63,negative,abstract,12,E
unfit,2.95,1.39,1.55,negative,abstract,5,E
decorative,7.52,1.47,0.86,positive,neutral,10,E
fraught,2.94,1.47,0.69,negative,neutral,7,E
comic,7.5,1.47,10.82,positive,neutral,5,E
hopeful,7.44,1.34,2.98,positive,abstract,7,E
treasured,7.14,1.53,0.59,positive,neutral,9,E
extinct,2.74,1.37,2.51,negative,neutral,7,E
annoyed,2.8,1.2,3.43,negative,neutral,7,E
suicidal,2.15,2.16,2.9,negative,neutral,8,E
terrifying,2.63,1.92,4.25,negative,neutral,10,E
obese,2.32,1.25,0.49,negative,neutral,5,E
dreamy,7.52,1.5,1.57,positive,neutral,6,E
moldy,1.95,0.94,0.59,negative,neutral,5,E
pleasant,7.24,1.51,21.02,positive,abstract,8,E
pitiful,2.89,1.24,3.84,negative,abstract,7,E
stingy,2.53,1.47,1.24,negative,abstract,6,E
amusing,7.6,1.31,9.2,positive,neutral,7,E
unfaithful,2.33,1.75,2.35,negative,abstract,10,E
faithful,7.95,1.07,9.12,positive,neutral,8,E
scrumptious,7.2,1.32,0.75,positive,neutral,11,E
impoverished,2.43,1.41,0.57,negative,neutral,12,E
lifeless,2.24,1.61,1.25,negative,neutral,8,E
refreshing,7.05,1.53,3.67,positive,neutral,10,E
loyal,7.31,1.33,12.0,positive,abstract,5,E
hectic,2.8,1.15,1.84,negative,abstract,6,E
motherless,1.9,1.48,0.57,negative,neutral,10,E
productive,7.37,1.07,2.41,positive,neutral,10,E
wretched,2.57,1.36,3.63,negative,neutral,8,E
prejudiced,2.7,1.26,1.86,negative,neutral,10,F
blessed,7.5,1.76,13.8,positive,neutral,7,F
needy,2.9,1.29,3.04,negative,neutral,5,F
feminine,7.33,1.52,4.57,positive,neutral,8,F
vengeful,2.16,1.42,1.0,negative,neutral,8,F
grim,2.41,1.14,4.78,negative,abstract,4,F
malicious,2.32,1.42,1.57,negative,neutral,9,F
homemade,7.38,1.02,2.86,positive,neutral,8,F
cheerful,8.0,1.41,3.73,positive,neutral,8,F
amused,7.05,1.28,2.51,positive,abstract,6,F
inadequate,2.57,1.21,1.86,negative,abstract,10,F
uneasy,2.86,1.04,2.08,negative,abstract,6,F
drab,2.76,1.26,0.8,negative,neutral,4,F
rabid,2.95,1.36,1.37,negative,neutral,5,F
fruitful,7.11,1.49,0.92,positive,neutral,8,F
wimpy,2.76,1.3,0.84,negative,neutral,5,F
diseased,2.24,1.34,1.14,negative,neutral,8,F
grumpy,2.81,1.25,2.35,negative,neutral,6,F
derogatory,2.7,1.34,0.61,negative,neutral,10,F
unfriendly,2.3,1.87,1.04,negative,neutral,10,F
blooming,7.19,1.25,1.59,positive,concrete,8,F
truthful,7.48,1.29,2.14,positive,abstract,8,F
sensual,7.4,2.06,1.51,positive,neutral,7,F
toothless,2.52,1.5,0.55,negative,concrete,9,F
sunny,7.95,0.89,7.67,positive,concrete,5,F
dishonorable,2.33,1.28,0.63,negative,abstract,12,F
knowledgeable,7.95,1.12,0.78,positive,abstract,13,F
magical,8.23,0.97,9.1,positive,neutral,7,F
immobile,2.89,1.2,0.49,negative,neutral,8,F
appetizing,7.0,1.45,0.63,positive,neutral,10,F
insulting,1.89,0.94,5.37,negative,neutral,9,F
motherly,7.67,1.75,0.45,positive,neutral,8,F
meaningless,2.95,1.39,4.86,negative,abstract,11,F
floral,7.42,1.3,0.73,positive,neutral,6,F
poisonous,2.52,1.66,3.33,negative,neutral,9,F
satanic,1.94,1.39,1.35,negative,neutral,7,F
demeaning,2.62,1.28,0.86,negative,abstract,9,F
reliable,7.3,1.34,5.9,positive,abstract,8,F
resourceful,7.25,1.29,1.45,positive,abstract,11,F
successful,7.76,1.76,20.33,positive,neutral,10,F
amazed,7.55,0.89,5.12,positive,abstract,6,F
satisfying,7.48,1.78,2.53,positive,neutral,10,F
courageous,8.05,0.71,3.16,positive,abstract,10,G
musical,7.68,1.21,13.16,positive,neutral,7,G
unbearable,2.1,0.94,2.53,negative,abstract,10,G
